Faithfulness Score,Answer Relevancy,Context Precision Score,Context Recall Score,Top K,Chunk Size,Chunk overlap
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,1,1000.0,150.0
0.6666666666666667,0.923658661181212,0.13333333333333333,1.0,2,1000.0,150.0
0.6666666666666667,0.9236600302000418,0.13333333333333333,1.0,3,1000.0,150.0
0.6666666666666667,0.9236524400990712,0.0,1.0,4,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.0,1.0,5,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.0,1.0,6,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,7,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,8,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,9,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,1,1000.0,150.0
1.0,0.9714167591154689,0.21428571428571427,0.0,2,1000.0,150.0
0.875,0.9740352818907426,0.21428571428571427,0.0,3,1000.0,150.0
1.0,0.971476657944149,0.8333333332916666,0.0,4,1000.0,150.0
1.0,0.9714300745928437,0.8333333332916666,0.0,5,1000.0,150.0
1.0,0.9714300745928437,0.8333333332916666,0.0,6,1000.0,150.0
1.0,0.9722984770254767,0.21428571428571427,0.0,7,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,8,1000.0,150.0
0.875,0.9714300745928437,0.21428571428571427,0.0,9,1000.0,150.0
1.0,0.9452663177227487,0.2222222222222222,0.0,1,1000.0,150.0
0.7333333333333334,0.927615747048355,0.0,0.0,2,1000.0,150.0
0.7058823529411764,0.9270001933748563,0.2222222222222222,0.0,3,1000.0,150.0
1.0,0.9099077734562862,0.999999999975,0.0,4,1000.0,150.0
1.0,0.9359385000441679,0.999999999975,0.0,5,1000.0,150.0
0.46153846153846156,0.9081775341852696,0.999999999975,0.0,6,1000.0,150.0
0.8571428571428572,0.9308184506138001,0.2222222222222222,0.0,7,1000.0,150.0
0.47058823529411764,0.9165801917900304,0.2222222222222222,0.0,8,1000.0,150.0
0.7142857142857143,0.9358877888005349,0.2222222222222222,0.0,9,1000.0,150.0
0.8333333333333334,0.9162184870537616,0.06493506493506493,1.0,1,1000.0,150.0
0.6666666666666667,0.9413112039534388,0.06493506493506493,1.0,2,1000.0,150.0
0.8,0.9548324772498987,0.06493506493506493,1.0,3,1000.0,150.0
0.75,0.8971234806499503,0.499999999975,1.0,4,1000.0,150.0
0.5555555555555556,0.9712544127059509,0.249999999975,1.0,5,1000.0,150.0
0.625,0.9420955716902372,0.499999999975,1.0,6,1000.0,150.0
0.75,0.9712528297456521,0.06493506493506493,1.0,7,1000.0,150.0
0.8333333333333334,0.8960995387526701,0.06493506493506493,1.0,8,1000.0,150.0
0.5714285714285714,0.9431614705862076,0.06493506493506493,1.0,9,1000.0,150.0
0.6666666666666667,0.8991235865231809,0.0,0.2,1,1000.0,150.0
0.25,0.8954607432343922,0.0,0.25,2,1000.0,150.0
0.4,0.8965995744885328,0.0,0.25,3,1000.0,150.0
0.6666666666666667,0.8931352982276962,0.0,0.25,4,1000.0,150.0
0.33333333333333337,0.886972931291977,0.0,0.25,5,1000.0,150.0
0.6666666666666667,0.8938267018283795,0.0,0.25,6,1000.0,150.0
0.0,0.8935293060782463,0.0,0.25,7,1000.0,150.0
0.8,0.896598455723908,0.0,0.25,8,1000.0,150.0
0.25,0.8954474752770679,0.0,0.25,9,1000.0,150.0
0.19999999999999996,0.9173170227712947,0.05714285714285714,0.8,1,1000.0,150.0
0.5714285714285714,0.856603559963307,0.05714285714285714,0.6,2,1000.0,150.0
0.0,0.728490452025962,0.05714285714285714,0.8,3,1000.0,150.0
0.6,0.9755363635309574,0.8333333332916666,0.8,4,1000.0,150.0
0.6,0.7284649628998862,0.8333333332916666,0.6,5,1000.0,150.0
0.4,0.728490452025962,0.8333333332916666,0.6,6,1000.0,150.0
0.4,0.7117779655402413,0.05714285714285714,0.8,7,1000.0,150.0
0.19999999999999996,0.7285148857891147,0.05714285714285714,0.8,8,1000.0,150.0
0.4,0.9662217045510074,0.05714285714285714,0.6,9,1000.0,150.0
